provincia_id,fecha,hr_media,hr_min,hr_max,tmed,tmin,tmax,prec,velmedia,racha,pres_max,pres_min,sol
1,2021-01-01,87.33,70.0,98.33,2.67,-0.36,5.7,12.22,2.2,11.0,950.2,947.6,3.95
2,2021-01-01,79.55,58.73,95.0,3.3,0.52,6.08,2.9,4.08,12.94,927.68,924.6,3.8
3,2021-01-01,53.58,38.25,76.58,8.57,4.34,12.8,0.0,4.42,15.37,1005.5,1000.9,6.87
4,2021-01-01,47.73,35.82,74.09,8.52,5.0,12.04,0.42,7.36,18.88,984.82,980.34,8.8
5,2021-01-01,76.3,61.5,95.5,1.63,-1.18,4.45,0.13,4.22,12.2,883.0,880.3,4.3
6,2021-01-01,81.0,65.09,95.64,5.4,1.58,9.22,0.03,3.97,11.0,970.45,967.73,6.5
7,2021-01-01,83.18,63.85,93.74,8.79,5.28,12.25,15.5,2.76,13.43,1002.72,995.78,1.86
8,2021-01-01,78.61,63.33,91.67,4.33,1.37,7.28,0.68,1.68,8.06,958.92,955.98,0.18
9,2021-01-01,86.25,73.17,96.5,0.2,-2.46,2.89,1.58,2.86,10.29,914.68,911.38,1.78
10,2021-01-01,71.48,58.17,90.76,4.72,1.48,7.97,0.11,3.15,11.1,973.15,970.32,7.23
11,2021-01-01,73.67,56.71,96.29,9.53,6.55,12.5,0.49,3.85,11.39,997.3,994.73,7.15
12,2021-01-01,67.56,51.78,86.44,3.58,0.3,6.88,0.68,4.95,14.92,940.8,937.55,5.4
13,2021-01-01,79.0,58.8,94.5,3.81,0.15,7.48,0.51,2.73,11.12,932.82,929.74,5.55
14,2021-01-01,78.4,55.47,96.73,5.59,1.79,9.4,0.69,3.56,10.27,960.57,957.83,6.4
15,2021-01-01,90.06,80.89,96.89,5.58,3.03,8.14,12.31,3.95,14.57,1000.87,996.91,1.1
16,2021-01-01,79.67,58.64,97.27,2.04,-1.38,5.46,1.41,2.92,11.33,911.75,908.4,3.2
17,2021-01-01,69.61,48.11,91.06,4.77,0.54,9.02,0.32,1.94,8.67,935.47,932.97,1.3
18,2021-01-01,60.92,46.9,84.6,5.06,2.38,7.74,1.12,4.72,13.06,922.5,918.82,2.17
19,2021-01-01,80.25,65.12,97.88,0.05,-3.29,3.41,2.38,2.13,10.57,907.15,904.15,4.33
20,2021-01-01,83.06,66.5,95.62,4.72,1.61,7.82,19.52,3.04,11.89,990.26,987.44,2.0
21,2021-01-01,75.93,57.71,95.93,7.84,3.84,11.86,0.04,3.83,11.34,998.3,996.08,6.8
22,2021-01-01,78.7,60.26,96.96,1.42,-2.65,5.49,0.08,2.03,8.03,907.9,905.63,5.33
23,2021-01-01,81.8,69.5,96.8,4.55,2.31,6.81,0.23,3.17,10.7,957.17,954.17,5.1
24,2021-01-01,86.29,70.43,94.71,-0.29,-3.14,2.56,1.09,4.03,13.24,899.22,895.18,3.17
25,2021-01-01,80.87,62.57,96.39,0.74,-3.47,4.97,0.11,1.15,6.35,948.45,945.8,4.25
26,2021-01-01,75.86,63.14,94.86,2.19,-0.47,4.86,5.91,3.78,12.34,967.2,963.9,5.7
27,2021-01-01,92.0,86.55,96.64,2.5,0.64,4.39,5.93,1.67,7.92,963.9,960.6,0.1
28,2021-01-01,67.95,53.47,92.0,2.1,-1.02,5.21,0.6,3.34,13.81,904.59,901.56,6.4
29,2021-01-01,54.33,37.2,83.4,10.48,7.37,13.6,0.14,4.1,14.06,1005.88,1002.55,4.55
30,2021-01-01,57.56,41.3,81.07,7.3,2.72,11.9,0.09,4.39,14.88,986.42,982.56,6.54
31,2021-01-01,82.43,65.86,97.14,3.77,0.75,6.8,3.72,2.05,8.74,964.75,961.95,3.2
32,2021-01-01,93.67,85.42,98.42,2.25,-0.02,4.54,2.51,1.23,6.57,958.8,955.6,0.4
33,2021-01-01,90.92,76.46,96.62,2.72,0.81,4.64,12.66,2.65,11.91,968.39,963.5,0.67
34,2021-01-01,89.38,69.25,97.5,-0.79,-4.5,2.9,1.52,3.17,11.74,898.5,894.55,4.1
35,2021-01-01,67.17,53.36,80.42,15.3,12.85,17.77,0.31,4.04,10.46,1020.01,1017.33,2.58
36,2021-01-01,94.25,87.18,99.18,4.2,1.34,7.05,7.3,0.98,8.06,1002.07,998.77,2.7
37,2021-01-01,83.09,66.64,96.09,1.67,-1.6,4.96,0.15,3.63,10.43,927.08,924.15,4.67
38,2021-01-01,66.63,54.89,86.8,12.93,10.26,15.61,0.28,3.19,9.71,965.35,962.55,3.03
39,2021-01-01,87.05,68.7,96.1,2.1,-0.04,4.25,19.77,4.4,16.84,950.26,945.8,0.0
40,2021-01-01,93.12,83.25,99.25,-1.29,-3.58,0.99,1.49,3.62,12.73,853.45,851.0,0.3
41,2021-01-01,73.33,50.87,95.4,7.8,3.79,11.82,0.16,2.9,8.69,987.7,985.08,6.5
