idema,nombre,provincia_id,latitud,longitud,altitud
0002I,"VANDELLÒS  ",43,40.95,0.8667,32
0009X,ALFORJA,43,41.2,0.95,406
0016A,REUS AEROPUERTO,43,41.1333,1.1667,71
0016B,REUS (CENTRE LECTURA),43,41.15,1.1,118
0034X,VALLS,43,41.2833,1.25,233
0042Y,"TARRAGONA ",43,41.1167,1.2333,55
0061X,PONTONS,8,41.4167,1.5167,632
0066X,VILAFRANCA DEL PENEDÈS,8,41.3167,1.6667,177
0073X,SITGES,8,41.2333,1.85,58
0076,BARCELONA AEROPUERTO,8,41.2833,2.0667,4
0092X,BERGA,8,42.1,1.85,682
0106X,BALSARENY,8,41.85,1.8667,361
0114X,PRATS DE LLUÇANÈS,8,42,2.0167,700
0120X,MOIÀ,8,41.8,2.0833,742
0149D,MANRESA (LA CULLA),8,41.7167,1.8333,291
0149X,MANRESA,8,41.7167,1.8333,291
0158O,MONTSERRAT,8,41.5833,1.8333,738
0158X,MONISTROL DE MONTSERRAT,8,41.5833,1.8333,738
0171X,IGUALADA,8,41.5667,1.6167,313
0194D,"CORBERA, PIC D'AGULLES",8,41.4,1.8833,647
0200E,"BARCELONA, FABRA",8,41.4167,2.1167,408
0201D,"BARCELONA, PORT OLÍMPIC",8,41.3833,2.2,26
0201X,"BARCELONA, DRASSANES",8,41.3667,2.1667,11
0222X,CALDES DE MONTBUI,8,41.6,2.1667,175
0229I,SABADELL AEROPUERTO,8,41.5167,2.1,146
0244X,VILASSAR DE DALT,8,41.5,2.35,56
0252D,ARENYS DE MAR,8,41.5833,2.5333,74
0255B,SANTA SUSANNA,8,41.65,2.6833,40
0260X,FOGARS DE MONTCLÚS,8,41.75,2.4167,936
0281Y,BLANES,17,41.6667,2.8,45
0284X,"CASTELL, PLATJA D'ARO ",17,41.8,3.0167,14
0294B,LA BISBAL (D'EMPORDA 3),17,41.9667,3.0333,51
0312X,SANT PAU DE SEGÚRIES,17,42.25,2.35,851
0320I,PLANOLES,17,42.3167,2.1,1151
0321,CAMPDEVANOL,17,42.2167,2.1667,731
0324A,RIPOLL,17,42.1833,2.1833,675
0341,TONA (ESCOLA),8,41.8333,2.2167,611
0341X,TONA,8,41.8333,2.2167,607
0349,SANT JULIÀ  DE VILATORTA,8,41.9167,2.3167,578
0360X,LES PLANES D'HOSTOLES,17,42.05,2.55,337
0363X,SANT HILARI,17,41.8667,2.5,810
0367,GIRONA AEROPUERTO,17,41.9,2.75,143
0370B,"GIRONA, ANTIC INSTITUT",17,41.9667,2.8167,95
0370E,GIRONA,17,41.9667,2.8167,76
0372C,PORQUERES,17,42.1,2.75,157
0385X,L'ESTARTIT,17,42.05,3.2,1
0394X,LA VALL DE BIANYA,17,42.2,2.4667,350
0411X,CASTELLÓ D'EMPÚRIES,17,42.2167,3.0833,2
0413A,MAÇANET DE CABRENYS,17,42.3833,2.75,355
0421E,ESPOLLA 'LES ALBERES',17,42.3833,3,100
0421X,ESPOLLA,17,42.3833,3,100
0429X,FIGUERES,17,42.25,2.95,45
0433D,CABO DE CREUS,17,42.3167,3.3,75
1002Y,"BAZTAN, IRURITA ",31,43.1333,-1.5333,183
1010X,BERA,31,43.2667,-1.6667,54
1012P,IRUN,20,43.3167,-1.7833,120
