fecha,actual_mean,actual_min,actual_max,actual_std,predicted_mean,predicted_min,predicted_max,predicted_std
2021-01-01,5.4585753000387145,-9.8,19.6,4.865429420504011,9.037275458738701,9.037275458738701,9.037275458738701,0.0
2021-01-02,3.9824214202561117,-13.6,18.8,5.138955451019136,8.875064458212314,8.875064458212314,8.875064458212314,0.0
2021-01-03,4.216492450638793,-13.4,19.0,4.91758344185414,8.769013867517494,8.769013867517494,8.769013867517494,0.0
2021-01-04,4.106078203639179,-11.8,21.3,5.485068570616781,8.71084090266152,8.71084090266152,8.71084090266152,0.0
2021-01-05,3.960841049382716,-11.7,22.5,6.0819243499126685,8.683092660007972,8.683092660007972,8.683092660007972,0.0
2021-01-06,3.897212543554007,-8.8,22.4,6.256926702138638,8.72485385453502,8.72485385453502,8.72485385453502,0.0
2021-01-07,3.4858855375096676,-10.1,23.4,6.558685950488071,8.74924687641704,8.74924687641704,8.74924687641704,0.0
2021-01-08,3.083720930232558,-10.4,20.0,5.991885480384178,8.650184136174023,8.650184136174023,8.650184136174023,0.0
2021-01-09,3.1136842105263156,-9.5,17.8,5.390866364302816,8.526753107154438,8.526753107154438,8.526753107154438,0.0
2021-01-10,3.796690031152648,-10.5,18.2,5.014330673003015,8.462800864442524,8.462800864442524,8.462800864442524,0.0
2021-01-11,3.3836639439906655,-12.8,18.2,5.516173256973815,8.448884629561967,8.448884629561967,8.448884629561967,0.0
2021-01-12,3.590042784908596,-16.2,18.8,5.525226712924648,8.466367219547283,8.466367219547283,8.466367219547283,0.0
2021-01-13,5.219412219644238,-10.4,18.8,4.958182550659874,8.553160256167955,8.553160256167955,8.553160256167955,0.0
2021-01-14,5.442064415987582,-11.8,19.0,5.076552544375905,8.621259047534695,8.621259047534695,8.621259047534695,0.0
2021-01-15,6.359168609168609,-8.0,18.8,4.863125844660232,8.563528116530135,8.563528116530135,8.563528116530135,0.0
2021-01-16,6.653658536585366,-7.2,19.2,4.771643587882356,8.478116836517865,8.478116836517865,8.478116836517865,0.0
2021-01-17,7.621629972962533,-6.1,19.6,4.738273760235101,8.448071099587889,8.448071099587889,8.448071099587889,0.0
2021-01-18,7.650580046403713,-6.4,19.1,4.1187701994452555,8.463306752287416,8.463306752287416,8.463306752287416,0.0
2021-01-19,7.087093023255814,-8.0,18.8,4.252317508138029,8.504723044538187,8.504723044538187,8.504723044538187,0.0
