endpoint,tag,summary,parameters
/api/avisos_cap/ultimoelaborado/area/{area},avisos_cap,Avisos de Fenómenos Meteorológicos Adversos. Último.,['area']
/api/avisos_cap/archivo/fechaini/{fechaIniStr}/fechafin/{fechaFinStr},avisos_cap,Avisos de Fenómenos Meteorológicos Adversos. Archivo.,"['fechaIniStr', 'fechaFinStr']"
/api/incendios/mapasriesgo/estimado/area/{area},indices-incendios,Mapa de niveles de riesgo estimado meteorológico de incendios forestales.,['area']
/api/incendios/mapasriesgo/previsto/dia/{dia}/area/{area},indices-incendios,Mapa de niveles de riesgo previsto meteorológico de incendios forestales.,"['dia', 'area']"
/api/maestro/municipio/{municipio},maestro,Información específica municipio.,['municipio']
/api/maestro/municipios,maestro,Información específica municipios.,[]
/api/mapasygraficos/analisis,mapas-y-graficos,Mapas de análisis. Última pasada.,[]
/api/mapasygraficos/mapassignificativos/fecha/{fecha}/{ambito}/{dia},mapas-y-graficos,Mapas significativos. Tiempo actual.,"['fecha', 'ambito', 'dia']"
/api/observacion/convencional/todas,observacion-convencional,Datos de observación. Tiempo actual.,[]
/api/observacion/convencional/datos/estacion/{idema},observacion-convencional,Datos de observación. Tiempo actual.,['idema']
/api/observacion/convencional/mensajes/tipomensaje/{tipomensaje},observacion-convencional,Mensajes de observación. Último elaborado.,['tipomensaje']
/api/prediccion/ccaa/hoy/{ccaa},predicciones-normalizadas-texto,Predicción CCAA hoy. Tiempo actual.,['ccaa']
/api/prediccion/ccaa/hoy/{ccaa}/elaboracion/{fecha},predicciones-normalizadas-texto,Predicción CCAA hoy. Archivo.,"['ccaa', 'fecha']"
/api/prediccion/ccaa/manana/{ccaa},predicciones-normalizadas-texto,Predicción CCAA mañana. Tiempo actual.,['ccaa']
/api/prediccion/ccaa/manana/{ccaa}/elaboracion/{fecha},predicciones-normalizadas-texto,Predicción CCAA mañana. Archivo.,"['ccaa', 'fecha']"
/api/prediccion/ccaa/medioplazo/{ccaa},predicciones-normalizadas-texto,Predicción CCAA medio plazo. Tiempo actual.,['ccaa']
/api/prediccion/ccaa/medioplazo/{ccaa}/elaboracion/{fecha},predicciones-normalizadas-texto,Predicción CCAA medio plazo. Archivo.,"['ccaa', 'fecha']"
/api/prediccion/ccaa/pasadomanana/{ccaa},predicciones-normalizadas-texto,Predicción CCAA pasado mañana. Tiempo actual.,['ccaa']
/api/prediccion/ccaa/pasadomanana/{ccaa}/elaboracion/{fecha},predicciones-normalizadas-texto,Predicción CCAA pasado mañana. Archivo.,"['ccaa', 'fecha']"
/api/prediccion/especifica/montaña/pasada/area/{area},predicciones-especificas,Predicción de montaña. Tiempo pasado.,['area']
/api/prediccion/especifica/montaña/pasada/area/{area}/dia/{dia},predicciones-especificas,Predicción de montaña. Tiempo actual.,"['area', 'dia']"
/api/prediccion/especifica/nivologica/{area},predicciones-especificas,Información nivológica.,['area']
/api/prediccion/especifica/municipio/diaria/{municipio},predicciones-especificas,Predicción por municipios diaria. Tiempo actual.,['municipio']
/api/prediccion/especifica/municipio/horaria/{municipio},predicciones-especificas,Predicción por municipios horaria. Tiempo actual.,['municipio']
/api/prediccion/especifica/playa/{playa},predicciones-especificas,Predicción para las playas. Tiempo actual.,['playa']
/api/prediccion/especifica/uvi/{dia},predicciones-especificas,Predicción de radiación ultravioleta (UVI).,['dia']
/api/prediccion/maritima/altamar/area/{area},prediccion-maritima,Predicción marítima de alta mar.,['area']
/api/prediccion/maritima/costera/costa/{costa},prediccion-maritima,Predicción marítima costera.,['costa']
/api/prediccion/nacional/hoy,predicciones-normalizadas-texto,Predicción nacional hoy. Última elaborada.,[]
