idema,nombre,provincia,provincia_id,latitud,longitud,altitud,indsinop
B013X,"ESCORCA, LLUC",illes balears,7,39.8167,2.8833,490,8304
B051A,"SÓLLER, PUERTO",illes balears,7,39.7833,2.6833,5,8316
B087X,BANYALBUFAR,illes balears,7,39.6833,2.5,60,
B103B,ANDRATX - SANT ELM,illes balears,7,39.5667,2.3667,52,
B158X,"CALVIÀ, ES CAPDELLÀ",illes balears,7,39.55,2.45,50,
B228,"PALMA, PUERTO",illes balears,7,39.55,2.6167,3,8301
B236C,"PALMA, UNIVERSITAT",illes balears,7,39.6333,2.6333,95,
B248,"SIERRA DE ALFABIA, BUNYOLA",illes balears,7,39.7333,2.7,1030,8303
B275E,"SON BONET, AEROPUERTO",illes balears,7,39.6,2.7,47,8302
B278,"PALMA DE MALLORCA, AEROPUERTO",illes balears,7,39.55,2.7333,5,8306
B301,"LLUCMAJOR, CAP BLANC",illes balears,7,39.3667,2.7833,113,8308
B334X,LLUCMAJOR,illes balears,7,39.4833,2.8833,140,
B341X,PORRERES,illes balears,7,39.5,3.0,149,
B346X,PORRERES,illes balears,7,39.5167,3.0167,120,8310
B362X,"CAMPOS, CAN SION",illes balears,7,39.4,3.05,40,
B373X,"CAMPOS, SALINES LLEVANT",illes balears,7,39.35,3.0,3,
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",illes balears,7,39.1333,2.9333,165,
B410B,SANTANYÍ,illes balears,7,39.3333,3.1333,45,
B434X,PORTOCOLOM  ,illes balears,7,39.4,3.2667,17,8309
B496X,SON SERVERA,illes balears,7,39.6167,3.3833,25,
B526X,ARTÀ,illes balears,7,39.6833,3.35,110,
B569X,CAPDEPERA,illes balears,7,39.7167,3.4667,57,8311
B603X,ARTÀ-COLÒNIA DE SANT PERE,illes balears,7,39.7167,3.2667,99,
B605X,"MURO, S'ALBUFERA",illes balears,7,39.7833,3.1,2,
B614E,MANACOR,illes balears,7,39.55,3.2167,100,
B640X,PETRA,illes balears,7,39.6,3.1167,95,
B644B,SINEU,illes balears,7,39.6333,3.0,120,
B656A,SANTA MARÍA DEL CAMÍ,illes balears,7,39.65,2.8,121,
B662X,BINISSALEM,illes balears,7,39.6667,2.8667,105,
B684A,"ESCORCA, SON TORRELLA",illes balears,7,39.7833,2.7833,842,
B691,LA PUEBLA (SA CANOVA),illes balears,7,39.7333,3.0,40,
B691Y,SA POBLA,illes balears,7,39.7333,3.0167,40,8312
B760X,POLLENÇA,illes balears,7,39.8667,3.0167,45,
B780X,PORT DE POLLENÇA,illes balears,7,39.9,3.1,2,
B800X,"LA MOLA, MAÓ",illes balears,7,39.8667,4.3167,78,
B825B,ES MERCADAL,illes balears,7,39.9833,4.0833,80,
B860X,CIUTADELLA,illes balears,7,39.9833,3.85,20,
B870C,"CIUTADELLA, CALA GALDANA",illes balears,7,39.9333,3.95,43,
B893,"MENORCA, AEROPUERTO",illes balears,7,39.85,4.2,91,8314
B908X,SANT JOAN DE LABRITJA,illes balears,7,39.05,1.4833,110,
B925,SANT ANTONI DE PORTMANY,illes balears,7,38.95,1.3167,32,
B954,"IBIZA, AEROPUERTO",illes balears,7,38.8667,1.3833,6,8373
B957,EIVISSA,illes balears,7,38.9167,1.4333,3,
B986,FORMENTERA,illes balears,7,38.6833,1.45,24,
C018J,TÍAS,las palmas,35,28.9667,-13.6833,376,
C019V,YAIZA PLAYA BLANCA,las palmas,35,28.85,-13.8333,6,
C029O,LANZAROTE AEROPUERTO,las palmas,35,28.95,-13.6,14,60040
C038N,HARÍA,las palmas,35,29.1333,-13.4833,277,
C048W,TINAJO,las palmas,35,29.0333,-13.6667,275,
C101A,ROQUE DE LOS MUCHACHOS,santa cruz de tenerife,38,28.75,-17.8833,2223,
C117A,PUNTAGORDA,santa cruz de tenerife,38,28.75,-17.9833,684,
C117Z,TIJARAFE,santa cruz de tenerife,38,28.6667,-17.9333,733,
C126A,EL PASO,santa cruz de tenerife,38,28.65,-17.85,844,
C129V,FUENCALIENTE,santa cruz de tenerife,38,28.45,-17.8333,19,
C129Z,TAZACORTE,santa cruz de tenerife,38,28.5833,-17.9,62,60004
C139E,LA PALMA AEROPUERTO,santa cruz de tenerife,38,28.6167,-17.75,33,60005
C148F,SAN ANDRÉS Y SAUCES,santa cruz de tenerife,38,28.8,-17.7667,362,
C229J,PÁJARA,las palmas,35,28.0333,-14.35,15,60034
C239N,"TUINEJE,PUERTO GRAN TARAJAL",las palmas,35,28.2,-14.0167,1,
C248E,ANTIGUA,las palmas,35,28.4167,-14.0167,252,
C249I,FUERTEVENTURA AEROPUERTO,las palmas,35,28.4333,-13.85,25,60035
C258K,LA OLIVA,las palmas,35,28.6,-13.9167,217,
C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",santa cruz de tenerife,38,28.1,-17.2333,1474,
C316I,ARURE,santa cruz de tenerife,38,28.1167,-17.3,916,
C317B,AGULO,santa cruz de tenerife,38,28.1667,-17.2,765,
C319W,"VALLEHERMOSO, DAMA",santa cruz de tenerife,38,28.05,-17.3,190,
C328W,HERMIGUA,santa cruz de tenerife,38,28.15,-17.1833,252,
C329B,"LA GOMERA, AEROPUERTO",santa cruz de tenerife,38,28.0167,-17.2,219,60007
C329Z,SAN SEBASTIÁN DE LA GOMERA,santa cruz de tenerife,38,28.0833,-17.1,15,60008
C406G,"LA OROTAVA, CAÑADAS TEIDE",santa cruz de tenerife,38,28.2167,-16.6167,2150,
C412N,CITFAGRO_89_CHAVAO,santa cruz de tenerife,38,28.2167,-16.7,2071,
C415A,CITFAGRO_64_HOYOS,santa cruz de tenerife,38,28.3,-16.8,990,
C417J,CITFAGRO_74_CHIO,santa cruz de tenerife,38,28.2333,-16.7833,735,
C418I,CITFAGRO_05_GUIAISO1,santa cruz de tenerife,38,28.2,-16.7833,476,
C418L,CITFAGRO_76_POZO,santa cruz de tenerife,38,28.2,-16.75,700,
C419L,LOMO DEL BALO,santa cruz de tenerife,38,28.2,-16.7833,403,
C419X,ADEJE,santa cruz de tenerife,38,28.0667,-16.7,130,
C422A,CITFAGRO_94_LOSTOPOS,santa cruz de tenerife,38,28.1667,-16.65,1833,
C423R,CITFAGRO_90_PICACHO,santa cruz de tenerife,38,28.2167,-16.5167,1654,
C426E,CITFAGRO_13_VILAFLOR,santa cruz de tenerife,38,28.1333,-16.6167,1258,
C426I,CITFAGRO_77_PINAL,santa cruz de tenerife,38,28.1167,-16.6,880,
C426R,CITFAGRO_09_HELECHO,santa cruz de tenerife,38,28.2167,-16.4833,930,
C428T,ARICO,santa cruz de tenerife,38,28.1667,-16.4667,418,
C428U,CITFAGRO_01_ARICO,santa cruz de tenerife,38,28.1167,-16.4667,135,
C429I,TENERIFE SUR AEROPUERTO,santa cruz de tenerife,38,28.0333,-16.55,64,60025
C430E,IZAÑA,santa cruz de tenerife,38,28.3,-16.4833,2369,60010
C436I,CITFAGRO_54_TOPONEGRO,santa cruz de tenerife,38,28.3167,-16.4,290,
C436L,CITFAGRO_96_ARAYA,santa cruz de tenerife,38,28.3667,-16.3833,525,
C437E,CITFAGRO_81_MENA,santa cruz de tenerife,38,28.2667,-16.4167,500,
C438N,CANDELARIA,santa cruz de tenerife,38,28.35,-16.4,463,
C439J,GÜÍMAR,santa cruz de tenerife,38,28.3167,-16.3667,115,60018
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",santa cruz de tenerife,38,28.5167,-16.2667,868,
C447A,TENERIFE NORTE AEROPUERTO,santa cruz de tenerife,38,28.4667,-16.3167,632,60015
C448C,CITFAGRO_92_SANTACRUZ,santa cruz de tenerife,38,28.45,-16.2667,136,
C449C,STA.CRUZ DE TENERIFE,santa cruz de tenerife,38,28.45,-16.25,36,60020
C449F,ANAGA ,santa cruz de tenerife,38,28.5,-16.1833,19,
C449Q,CITFAGRO_97_TAGANANA,santa cruz de tenerife,38,28.55,-16.2167,305,
C453I,CITFAGRO_88_GAITERO,santa cruz de tenerife,38,28.3833,-16.4333,1744,
C455M,CITFAGRO_87_AGUAMANSA,santa cruz de tenerife,38,28.35,-16.4833,1065,
C456E,CITFAGRO_10_RAVELO,santa cruz de tenerife,38,28.45,-16.4,922,
C456P,CITFAGRO_70_BENIJO,santa cruz de tenerife,38,28.35,-16.5333,906,
C456R,CITFAGRO_69_SUERTE,santa cruz de tenerife,38,28.3667,-16.5333,551,
C457E,CITFAGRO_67_MATANZA,santa cruz de tenerife,38,28.4333,-16.4333,650,
C457I,LA VICTORIA DE ACENTEJO,santa cruz de tenerife,38,28.4333,-16.45,567,
C458A,TACORONTE,santa cruz de tenerife,38,28.4833,-16.4167,310,
C458U,CITFAGRO_71_PALOB,santa cruz de tenerife,38,28.3667,-16.5667,595,
C459Z,PUERTO DE LA CRUZ,santa cruz de tenerife,38,28.4167,-16.5333,25,60012
C466O,CITFAGRO_91_CUBO,santa cruz de tenerife,38,28.3333,-16.7833,878,
C467I,CITFAGRO_73_REDON,santa cruz de tenerife,38,28.35,-16.7,525,
C468I,CITFAGRO_98_ELDRAGO,santa cruz de tenerife,38,28.3667,-16.7167,218,
C468O,CITFAGRO_62_TRIGO,santa cruz de tenerife,38,28.35,-16.8,450,
C468X,SAN JUAN DE LA RAMBLA,santa cruz de tenerife,38,28.3667,-16.6167,667,
C611E,VEGA DE SAN MATEO,las palmas,35,27.9667,-15.5833,1702,
C612F,"TEJEDA, CRUZ DE TEJEDA",las palmas,35,28.0,-15.5833,1514,
C614H,TEJEDA,las palmas,35,27.9833,-15.6,1060,60038
C619I,LA ALDEA DE SAN NICOLÁS,las palmas,35,28.0,-15.8,10,60027
C619X,AGAETE,las palmas,35,28.1,-15.7,5,
C619Y,LA ALDEA DE SAN NICOLÁS,las palmas,35,28.0,-15.8,13,60027
C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",las palmas,35,27.9167,-15.5833,1220,
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",las palmas,35,27.85,-15.6333,806,
C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",las palmas,35,27.9,-15.7667,318,
C629Q,"MOGÁN, PUERTO RICO",las palmas,35,27.7667,-15.7,10,
C629X,"MOGÁN, PUERTO",las palmas,35,27.8,-15.75,10,60036
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",las palmas,35,27.9167,-15.5667,960,
C639M,"MASPALOMAS, C. INSULAR TURISMO ",las palmas,35,27.75,-15.5667,45,
C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",las palmas,35,27.8,-15.45,41,
C648C,AGÜIMES,las palmas,35,27.9,-15.45,306,
C648N,"TELDE, CENTRO FORESTAL DORAMAS",las palmas,35,27.9833,-15.45,344,
