indicativo,nombre
B013X,"ESCORCA, LLUC"
B051A,"SÓLLER, PUERTO"
B087X,BANYALBUFAR
B103B,ANDRATX - SANT ELM
B158X,"CALVIÀ, ES CAPDELLÀ"
B228,"PALMA, PUERTO"
B236C,"PALMA, UNIVERSITAT"
B248,"SIERRA DE ALFABIA, BUNYOLA"
B275E,"SON BONET, AEROPUERTO"
B278,"PALMA DE MALLORCA, AEROPUERTO"
B301,"LLUCMAJOR, CAP BLANC"
B334X,LLUCMAJOR
B341X,PORRERES
B346X,PORRERES
B362X,"CAMPOS, CAN SION"
B373X,"CAMPOS, SALINES LLEVANT"
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA"
B410B,SANTANYÍ
B434X,PORTOCOLOM  
B496X,SON SERVERA
B526X,ARTÀ
B569X,CAPDEPERA
B603X,ARTÀ-COLÒNIA DE SANT PERE
B605X,"MURO, S'ALBUFERA"
B614E,MANACOR
B640X,PETRA
B644B,SINEU
B656A,SANTA MARÍA DEL CAMÍ
B662X,BINISSALEM
B684A,"ESCORCA, SON TORRELLA"
B691,LA PUEBLA (SA CANOVA)
B691Y,SA POBLA
B760X,POLLENÇA
B780X,PORT DE POLLENÇA
B800X,"LA MOLA, MAÓ"
B825B,ES MERCADAL
B860X,CIUTADELLA
B870C,"CIUTADELLA, CALA GALDANA"
B893,"MENORCA, AEROPUERTO"
B908X,SANT JOAN DE LABRITJA
B925,SANT ANTONI DE PORTMANY
B954,"IBIZA, AEROPUERTO"
B957,EIVISSA
B986,FORMENTERA
C018J,TÍAS
C019V,YAIZA PLAYA BLANCA
C029O,LANZAROTE AEROPUERTO
C038N,HARÍA
C048W,TINAJO
C101A,ROQUE DE LOS MUCHACHOS
C117A,PUNTAGORDA
C117Z,TIJARAFE
C126A,EL PASO
C129V,FUENCALIENTE
C129Z,TAZACORTE
C139E,LA PALMA AEROPUERTO
C148F,SAN ANDRÉS Y SAUCES
C229J,PÁJARA
C239N,"TUINEJE,PUERTO GRAN TARAJAL"
C248E,ANTIGUA
C249I,FUERTEVENTURA AEROPUERTO
C258K,LA OLIVA
C314Z,"VALLEHERMOSO, ALTO IGUALERO  "
C316I,ARURE
C317B,AGULO
C319W,"VALLEHERMOSO, DAMA"
C328W,HERMIGUA
C329B,"LA GOMERA, AEROPUERTO"
C329Z,SAN SEBASTIÁN DE LA GOMERA
C406G,"LA OROTAVA, CAÑADAS TEIDE"
C412N,CITFAGRO_89_CHAVAO
C415A,CITFAGRO_64_HOYOS
C417J,CITFAGRO_74_CHIO
C418I,CITFAGRO_05_GUIAISO1
C418L,CITFAGRO_76_POZO
C419L,LOMO DEL BALO
C419X,ADEJE
C422A,CITFAGRO_94_LOSTOPOS
C423R,CITFAGRO_90_PICACHO
C426E,CITFAGRO_13_VILAFLOR
C426I,CITFAGRO_77_PINAL
C426R,CITFAGRO_09_HELECHO
C428T,ARICO
C428U,CITFAGRO_01_ARICO
C429I,TENERIFE SUR AEROPUERTO
C430E,IZAÑA
C436I,CITFAGRO_54_TOPONEGRO
C436L,CITFAGRO_96_ARAYA
C437E,CITFAGRO_81_MENA
C438N,CANDELARIA
C439J,GÜÍMAR
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS"
C447A,TENERIFE NORTE AEROPUERTO
C448C,CITFAGRO_92_SANTACRUZ
C449C,STA.CRUZ DE TENERIFE
C449F,ANAGA 
C449Q,CITFAGRO_97_TAGANANA
C453I,CITFAGRO_88_GAITERO
C455M,CITFAGRO_87_AGUAMANSA
C456E,CITFAGRO_10_RAVELO
C456P,CITFAGRO_70_BENIJO
C456R,CITFAGRO_69_SUERTE
C457E,CITFAGRO_67_MATANZA
C457I,LA VICTORIA DE ACENTEJO
C458A,TACORONTE
C458U,CITFAGRO_71_PALOB
