id,nombre
id44001,Ababuj
id40001,Abades
id48001,Abadiño
id10001,Abadía
id27001,Abadín
id09001,Abajas
id20001,Abaltzisketa
id30001,Abanilla
id50001,Abanto
id48002,Abanto y Ciérvana-Abanto Zierbena
id34001,Abarca de Campos
id30002,Abarán
id31003,Abaurregaina/Abaurrea Alta
id31004,Abaurrepea/Abaurrea Baja
id15001,Abegondo
id42001,Abejar
id44002,Abejuela
id25001,Abella de la Conca
id02001,Abengibre
id13001,Abenójar
id31005,Aberin
id10002,Abertura
id49002,Abezames
id16001,Abia de la Obispalía
id34003,Abia de las Torres
id22001,Abiego
id22002,Abizanda
id04001,Abla
id19002,Ablanque
id31006,Ablitas
id08001,Abrera
id04002,Abrucena
id37001,Abusejo
id31001,Abáigar
id19001,Abánades
id31002,Abárzuza/Abartzuza
id28001,"Acebeda, La"
id24001,Acebedo
id10003,Acebo
id16002,"Acebrón, El"
id06001,Acedera
id10004,Acehúche
id10005,Aceituna
id50002,Acered
id06002,Aceuchal
id22003,Adahuesca
id47001,Adalia
id14001,Adamuz
id05001,Adanero
id38001,Adeje
id46001,Ademuz
id31007,Adiós
id19003,Adobes
id46002,Ador
id04003,Adra
id09003,Adrada de Haza
id40002,Adrada de Pirón
id05002,"Adrada, La"
id42003,Adradas
id40003,Adrados
id20002,Aduna
id35001,Agaete
id37002,Agallas
id36020,Agolada
id26002,Agoncillo
id03002,Agost
id25003,Agramunt
id03003,Agres
id18001,Agrón
id41001,Aguadulce
id50004,Aguarón
id09006,Aguas Cándidas
id47002,Aguasal
id44003,Aguatón
id44004,Aguaviva
id13002,Agudo
id40004,Aguilafuente
id09007,Aguilar de Bureba
id34004,Aguilar de Campoo
id47003,Aguilar de Campos
id31008,Aguilar de Codés
id08002,Aguilar de Segarra
id14002,Aguilar de la Frontera
id44005,Aguilar del Alfambra
id26003,Aguilar del Río Alhama
id50005,Aguilón
id17001,Agullana
id46004,Agullent
id38002,Agulo
id50003,Agón
id22004,Agüero
id35002,Agüimes
id10006,Ahigal
id37004,Ahigal de Villarino
id37003,Ahigal de los Aceiteros
id06003,Ahillones
id20016,Aia
id31009,Aibar/Oibar
id46042,Aielo de Malferit
id46043,Aielo de Rugat
id08014,Aiguafreda
id43001,Aiguamúrcia
id17002,Aiguaviva
id03004,Aigües
id50006,Ainzón
id22006,Aisa
id25038,Aitona
id20003,Aizarnazabal
id28002,Ajalvir
id26004,Ajamil de Cameros
id48911,Ajangiz
id45001,Ajofrín
id44006,Alacón
id50007,Aladrén
id47004,Alaejos
id50008,Alagón
id10903,Alagón del Río
id07002,Alaior
id38003,Alajeró
id29001,Alameda
id37005,"Alameda de Gardón, La"
id45002,Alameda de la Sagra
id28003,Alameda del Valle
id18002,Alamedilla
id37006,"Alamedilla, La"
id13003,Alamillo
id19004,Alaminos
id25004,"Alamús, Els"
id06004,Alange
id41002,Alanís
id46005,Alaquàs
id34005,Alar del Rey
id37007,Alaraz
id50009,Alarba
id16003,Alarcón
id19005,Alarilla
id07001,Alaró
id02002,Alatoz
id44007,Alba
id34006,Alba de Cerrato
id37008,Alba de Tormes
id37009,Alba de Yeltes
id02003,Albacete
id25006,"Albagés, L'"
id46006,Albaida
id41003,Albaida del Aljarafe
id46007,Albal
id13004,Albaladejo
id16004,Albaladejo del Cuende
id46008,Albalat de la Ribera
id46009,Albalat dels Sorells
id46010,Albalat dels Tarongers
id22007,Albalate de Cinca
id19006,Albalate de Zorita
id16005,Albalate de las Nogueras
id44008,Albalate del Arzobispo
id22008,Albalatillo
id10007,Albalá
id23001,Albanchez de Mágina
id17003,Albanyà
id19007,Albares
id44009,Albarracín
id45003,Albarreal de Tajo
id02004,Albatana
id03005,Albatera
id25007,Albatàrrec
id22009,Albelda
id26005,Albelda de Iregua
id16006,Albendea
id19008,Albendiego
id44010,Albentosa
id16007,"Alberca de Záncara, La"
id37010,"Alberca, La"
id37011,"Alberguería de Argañán, La"
id46011,Alberic
id26006,Alberite
id50010,Alberite de San Juan
id22011,Albero Alto
id22012,Albero Bajo
id22013,Alberuela de Tubo
id25008,Albesa
id50011,Albeta
id25009,"Albi, L'"
id09009,Albillos
id43002,Albinyana
id43003,"Albiol, L'"
id20004,Albiztur
id12003,Albocàsser
id04005,Alboloduy
id18003,Albolote
id18004,Albondón
id17004,Albons
id46012,Alborache
id46013,Alboraya
id02005,Alborea
id50012,Alborge
id05005,Albornos
id04006,Albox
id30004,Albudeite
id06005,"Albuera, La"
id46014,Albuixech
id06006,Alburquerque
id18006,Albuñol
id18007,Albuñuelas
id18005,Albuñán
id04004,Albánchez
id45004,Alcabón
id02006,Alcadozo
id44011,Alcaine
id03006,Alcalalí
id12004,Alcalà de Xivert
