ID_PLAYA,NOMBRE_PLAYA
301101,Raco de l'Albir
301401,Sant Joan / San Juan
301408,El Postiguet
301410,Saladar
301808,La Roda
301809,Cap Blanch
303102,Llevant / Playa de Levante
303104,Ponent / Playa de Poniente
304105,Cala Fustera
304704,La Fossa
304707,Cantal Roig
304709,Arenal/Bol
305013,Carrer la Mar
306301,Les Devesses
306308,Les Boves / Les Marines
306310,Marineta Cassiana
306502,Arenales del Sol
306505,La Marina / Les Pesqueres - El Rebollo
306901,Finestrat / La Cala
307605,Centro / La Roqueta
308204,El Arenal
308211,La Granadella
309907,Cala Capitan
309908,Cala Roig
309911,Campoamor / Barranco Rubio
312103,Varador - Calas del Este
312108,Tamarit
312803,L'Ampolla
313302,La Mata
313909,Paradis
390208,Port / El Puerto
400308,Poniente
400309,San Nicolás
401304,San Miguel/Las Conchas/Zapillo
401310,Retamar
401313,San Miguel de Cabo de Gata
402901,Berja-Balanegra
403203,El Lancon
403204,Los Barquicos/Los Cocones
403501,Pozo del Esparto
403510,Villaricos
404901,Garrucha
406401,Marina de la Torre
406403,El Descargador
406601,Aguamarga
406614,San José
407506,Mar Serena
407904,La Romanilla
407906,Urbanización Roquetas del Mar
410002,Puerto del Rey
490201,Balerma
490204,San Miguel-Poniente Almerimar
490205,Levante Almerimar
700201,Son Bou
700307,Alcúdia
700506,Sant Elm
700513,Camp de Mar
701102,Palmira
701103,Cala Santa Ponça
701105,Magalluf
701303,Es Trenc
701401,Cala Mesquida
701403,Cala Agulla
701406,Sa Font de Sa Cala
701506,Cala Santandria
701507,Cala Blanca
701509,Son Xoriguer
701906,Sa Calobra
702201,Cala Marçal
702302,Cala Galdana
702402,Playa de Llevant
702413,Playa de Migjorn
702414,Cala Saona
702601,Talamanca
702603,Ses Figueretes
703209,Es Grau
703211,Cala Mesquida
703301,S'Illot / Cala Moreira
703307,Cala Estany
703316,Es Domingos Gran
703706,Tirant
703710,Arenal d'en Castell
703901,Muro
704001,Cala Major
704007,Playa de Palma
704202,Cala Barques
704208,Cala Formentor
704210,Pollença / Llenaire
704605,Cala Grasió
704608,San Antonio / Es Regueró
704806,Cala Bassa
704817,Cala Vedella
704821,Cala d'Hort
704834,Ses Salines / Mitjon
704836,En Bossa
705005,Port Sant Miquel
705016,Portinatx
705019,Cala San Vicente
705101,Cala Millor
705104,Sa Coma
705202,Punta Prima
705416,Santa Eulària
705418,Cala Llonga
705501,C'An Picafort
705706,Cala Mondragó
705707,Cala Santanyí
705904,Colonia de Sant Jordi / Ees Dolç
706101,Puerto de Sóller
706202,Es Ribell
790202,Sant Tomas
800601,D'Arenys
801502,Del Centre
801903,Del Bogatell
801905,La Barceloneta
802901,Cabrera
803201,La Riera - Els Tres Micos
803501,Gran - Garbí
804001,Canet
805601,Castelldefels
807401,Llarga
808901,Gavà
811002,Malgrat
811801,Ocata
812103,Varador
812602,Montgat
816301,Pineda de Mar
817203,Pla de l'Os
819703,Sant Andreu de Llavaneres
823504,Sant Pol
826101,Santa Susanna
826401,Sant Vicenç de Montalt
827009,L'Estanyol
830702,Ribes Roges
1100401,El Rinconcillo
1100402,Getares / San García
1100702,Caños de Meca
1100703,El Carmen
1100706,Zahara de los Atunes
1100801,Palmones
1101201,La Caleta
1101203,La Victoria
1101401,Roche
1101406,La Fontanilla
1101503,La Barrosa
1101602,Cruz del Mar
1101604,Regla
1102205,Levante - La Atunara
1102207,Poniente
1102701,Fuentebravía - Santa Catalina
1102704,La Puntilla
1102705,Valdelagrana
1103001,La Ballena
1103003,Punta Candor
1103005,La Costilla
1103006,El Rompidillo - El Chorrillo
1103101,Camposoto - El Castillo
1103203,La Calzada - Piletas
1103302,Torreguadiaro
1103504,Bolonia
1103506,Los Lances
1103901,El Palmar
1200402,Las Fuentes
1200403,El Carregador
1200902,La Torre
1201101,Casa Blanca
1202702,El Morrongo
1202802,L'Almadrava
1202805,Heliopolis
1203201,El Arenal
1204003,El Pinar
1205301,Las Casas / Les Cases
1207703,Masbo
1208201,Nules
1208502,Morro de Gos
1208503,La Concha
1208901,Playa Norte
1211701,Norte de Torreblanca
1213810,Forti
1500401,Ares
1500403,Seselle
1500501,Barrañán
1500801,Gandarío
1501101,Barraña
1501103,Mañóns
1501501,"Magdalena, Cabanas"
1501602,Arou
1501902,Razo-Baldaio
1502001,Carnota
1502202,Magdalena
1502301,Estorde
1502802,Quenxe
1503005,Riazor-Orzán
1503401,Ezaro
1503603,Doniños
1503608,San Xurxo
1503701,Langosteira
1503707,Sardiñeiro
1504001,Laxe
1504101,Caión
1504302,"Maior, Malpica"
1504303,Barizo
1504402,Bares
1504801,Grande de Miño
1504803,Perbes
1505202,Lago
1505204,"Os Muiños, Area Maior"
1505205,Lourido
1505301,San Francisco
1505303,Esteiro
1505701,Boa Grande
1505703,Testal
1505801,Bastiagueiro
1505802,Mera
1505803,Santa Cristina
1506101,Espasante
1506102,Morouzos
1506201,Broña
1506701,Areal
1506702,Cabío-Lombiña
1506802,Balarés
1506803,Hermida
1506901,Ber
1507101,Aguieira
1507104,Coira
1507109,Queiruga
1507110,As Furnas
1507111,Baroña
1507202,Tanxil
1507302,"O Castro, Aguiño"
1507304,Coroso
1507305,Corrubedo
1507506,San Pedro
1507507,Sada
1508701,Frouxeira
1590101,"A Concha, Cariño"
1701303,Sa Riera
1702303,Blanes
1702304,S'Abanell
1703209,Gran de Cadaqués
1703402,Torre Valentina - Sant Antoni
1704702,Empúriabrava
1704805,Platja d'Aro
1705402,En Goixa
1706209,Riells
1709203,El Port
1709507,Lloret
1709509,Fenals
1711703,Llafranc
